Site Name,Sub-site,Habitat Type ,Habitat Type Area (acres),Year post-completion,Year,Date Details,Metrics,Values,Units,Metric Groups,Metric Type,Collection Method,Data Collection Frequency,Restoration Goal Met? (Y/N),Metric Significance,Analyzed by who?,Notes
Mugu Lagoon,Reference Site,NA,NA,NA,2013,NA,Bird Species Richness,2.5,Mean number of species ha-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2013,NA,Bird Species Richness,1.6,Mean number of species ha-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
San Dieguito,NA,Tidal Wetland,150,2,2013,NA,Food Chain Support,4,Mean number of feeding birds ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,Y,Relative,VW,Some of these goals seem kind of subjective
Tijuana Estuary,Reference Site,NA,NA,NA,2013,NA,Food Chain Support,5,Mean number of feeding birds ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Mugu Lagoon,Reference Site,NA,NA,NA,2013,NA,Food Chain Support,30,Mean number of feeding birds ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2013,NA,Food Chain Support,2,Mean number of feeding birds ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
San Dieguito,NA,Tidal Wetland,150,3,2014,NA,Bird Density,13,Mean number 1.5 ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,Y,Relative,VW,Units of measurement were changed from last year
Tijuana Estuary,Reference Site,NA,NA,NA,2014,NA,Bird Density,10,Mean number 1.5 ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,Units of measurement were changed from last year
Mugu Lagoon,Reference Site,NA,NA,NA,2014,NA,Bird Density,34,Mean number 1.5 ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,Units of measurement were changed from last year
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2014,NA,Bird Density,13,Mean number 1.5 ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,Units of measurement were changed from last year
San Dieguito,NA,Tidal Wetland,150,3,2014,NA,Bird Species Richness,3.9,Mean number of species 1.5 ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,Y,Relative,VW,Units of measurement were changed from last year
Tijuana Estuary,Reference Site,NA,NA,NA,2014,NA,Bird Species Richness,3.7,Mean number of species 1.5 ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,Units of measurement were changed from last year
Mugu Lagoon,Reference Site,NA,NA,NA,2014,NA,Bird Species Richness,4.1,Mean number of species 1.5 ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,Units of measurement were changed from last year
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2014,NA,Bird Species Richness,3,Mean number of species 1.5 ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,Units of measurement were changed from last year
San Dieguito,NA,Tidal Wetland,150,3,2014,NA,Food Chain Support,6,Mean number of feeding birds 1.5 ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,Y,Relative,VW,Units changed from 1 to 1.5 ha^-1
Tijuana Estuary,Reference Site,NA,NA,NA,2014,NA,Food Chain Support,6,Mean number of feeding birds 1.5 ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Mugu Lagoon,Reference Site,NA,NA,NA,2014,NA,Food Chain Support,21,Mean number of feeding birds 1.5 ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2014,NA,Food Chain Support,5,Mean number of feeding birds 1.5 ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
San Dieguito,NA,Tidal Wetland,150,4,2015,NA,Bird Density,13,Mean number 1.5 ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,Y,Relative,VW,Compared to a 4 year running average
Tijuana Estuary,Reference Site,NA,NA,NA,2015,NA,Bird Density,16,Mean number 1.5 ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Mugu Lagoon,Reference Site,NA,NA,NA,2015,NA,Bird Density,36,Mean number 1.5 ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2015,NA,Bird Density,13,Mean number 1.5 ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
San Dieguito,NA,Tidal Wetland,150,4,2015,NA,Bird Species Richness,3.7,Mean number of species 1.5 ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,Y,Relative,VW,Compared to a 4 year running average
Tijuana Estuary,Reference Site,NA,NA,NA,2015,NA,Bird Species Richness,4.4,Mean number of species 1.5 ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Mugu Lagoon,Reference Site,NA,NA,NA,2015,NA,Bird Species Richness,4.8,Mean number of species 1.5 ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2015,NA,Bird Species Richness,4,Mean number of species 1.5 ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
San Dieguito,NA,Tidal Wetland,150,4,2015,NA,Food Chain Support,4,Mean number of feeding birds 1.5 ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,Y,Relative,VW,Compared to a 4 year running average
Tijuana Estuary,Reference Site,NA,NA,NA,2015,NA,Food Chain Support,6,Mean number of feeding birds 1.5 ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Mugu Lagoon,Reference Site,NA,NA,NA,2015,NA,Food Chain Support,22,Mean number of feeding birds 1.5 ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2015,NA,Food Chain Support,5,Mean number of feeding birds 1.5 ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
San Dieguito,NA,Tidal Wetland,150,5,2016,NA,Bird Density,10,Mean number acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,Y,Relative,VW,Compared to running average
Tijuana Estuary,Reference Site,NA,NA,NA,2016,NA,Bird Density,18,Mean number acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Mugu Lagoon,Reference Site,NA,NA,NA,2016,NA,Bird Density,40,Mean number acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2016,NA,Bird Density,14,Mean number acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
San Dieguito,NA,Tidal Wetland,150,5,2016,NA,Bird Species Richness,3.3,Mean number of species acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,Y,Relative,VW,Compared to running average
Tijuana Estuary,Reference Site,NA,NA,NA,2016,NA,Bird Species Richness,4.5,Mean number of species acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Mugu Lagoon,Reference Site,NA,NA,NA,2016,NA,Bird Species Richness,4.5,Mean number of species acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2016,NA,Bird Species Richness,3.6,Mean number of species acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
San Dieguito,NA,Tidal Wetland,150,5,2016,NA,Food Chain Support,2,Mean number of feeding birds acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,Y,Relative,VW,Compared to running average
Tijuana Estuary,Reference Site,NA,NA,NA,2016,NA,Food Chain Support,5,Mean number of feeding birds acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Mugu Lagoon,Reference Site,NA,NA,NA,2016,NA,Food Chain Support,15,Mean number of feeding birds acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2016,NA,Food Chain Support,4,Mean number of feeding birds acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
San Dieguito,NA,Tidal Wetland,150,6,2017,NA,Bird Density,3,Mean number acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,Y,Relative,VW,Compared to running average
Tijuana Estuary,Reference Site,NA,NA,NA,2017,NA,Bird Density,5,Mean number acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Mugu Lagoon,Reference Site,NA,NA,NA,2017,NA,Bird Density,10,Mean number acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2017,NA,Bird Density,4,Mean number acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
San Dieguito,NA,Tidal Wetland,150,6,2017,NA,Bird Species Richness,0.7,Mean number of species acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,Y,Relative,VW,Compared to running average
Tijuana Estuary,Reference Site,NA,NA,NA,2017,NA,Bird Species Richness,1,Mean number of species acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Mugu Lagoon,Reference Site,NA,NA,NA,2017,NA,Bird Species Richness,0.9,Mean number of species acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2017,NA,Bird Species Richness,0.8,Mean number of species acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
San Dieguito,NA,Tidal Wetland,150,6,2017,NA,Food Chain Support,1,Mean number of feeding birds acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,Y,Relative,VW,Compared to running average
Tijuana Estuary,Reference Site,NA,NA,NA,2017,NA,Food Chain Support,2,Mean number of feeding birds acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Mugu Lagoon,Reference Site,NA,NA,NA,2017,NA,Food Chain Support,4,Mean number of feeding birds acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2017,NA,Food Chain Support,2,Mean number of feeding birds acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
San Dieguito,NA,Tidal Wetland,150,7,2018,NA,Bird Density,2,Mean number acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,Y,Relative,VW,Compared to running average
Tijuana Estuary,Reference Site,NA,NA,NA,2018,NA,Bird Density,3,Mean number acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Mugu Lagoon,Reference Site,NA,NA,NA,2018,NA,Bird Density,7,Mean number acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2018,NA,Bird Density,4,Mean number acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
San Dieguito,NA,Tidal Wetland,150,7,2018,NA,Bird Species Richness,0.9,Mean number of species acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,Y,Relative,VW,Compared to running average
Tijuana Estuary,Reference Site,NA,NA,NA,2018,NA,Bird Species Richness,0.95,Mean number of species acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Mugu Lagoon,Reference Site,NA,NA,NA,2018,NA,Bird Species Richness,1.1,Mean number of species acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2018,NA,Bird Species Richness,0.9,Mean number of species acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
San Dieguito,NA,Tidal Wetland,150,7,2018,NA,Food Chain Support,0.6,Mean number of feeding birds acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,N,Relative,VW,First time not hitting this goal
Tijuana Estuary,Reference Site,NA,NA,NA,2018,NA,Food Chain Support,2,Mean number of feeding birds acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Mugu Lagoon,Reference Site,NA,NA,NA,2018,NA,Food Chain Support,2.5,Mean number of feeding birds acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2018,NA,Food Chain Support,0.7,Mean number of feeding birds acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
San Dieguito,NA,Tidal Wetland,150,8,2019,NA,Bird Density,2.5,Mean number acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,N,Relative,VW,First time not hitting this goal
Tijuana Estuary,Reference Site,NA,NA,NA,2019,NA,Bird Density,5,Mean number acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Mugu Lagoon,Reference Site,NA,NA,NA,2019,NA,Bird Density,11,Mean number acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2019,NA,Bird Density,2.5,Mean number acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
San Dieguito,NA,Tidal Wetland,150,8,2019,NA,Bird Species Richness,0.8,Mean number of species acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,Y,Relative,VW,Compared to running average
Tijuana Estuary,Reference Site,NA,NA,NA,2019,NA,Bird Species Richness,1.1,Mean number of species acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Mugu Lagoon,Reference Site,NA,NA,NA,2019,NA,Bird Species Richness,1,Mean number of species acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2019,NA,Bird Species Richness,0.75,Mean number of species acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
San Dieguito,NA,Tidal Wetland,150,8,2019,NA,Food Chain Support,0.6,Mean number of feeding birds acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,N,Relative,VW,Compared to running average
Tijuana Estuary,Reference Site,NA,NA,NA,2019,NA,Food Chain Support,1,Mean number of feeding birds acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Mugu Lagoon,Reference Site,NA,NA,NA,2019,NA,Food Chain Support,4.1,Mean number of feeding birds acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2019,NA,Food Chain Support,1,Mean number of feeding birds acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
San Dieguito,NA,Tidal Wetland,150,9,2020,NA,Bird Density,4.5,Mean number acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,Y,Relative,VW,Compared to running average
Tijuana Estuary,Reference Site,NA,NA,NA,2020,NA,Bird Density,6,Mean number acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Mugu Lagoon,Reference Site,NA,NA,NA,2020,NA,Bird Density,13,Mean number acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2020,NA,Bird Density,3,Mean number acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
San Dieguito,NA,Tidal Wetland,150,9,2020,NA,Bird Species Richness,6.9,Mean number of species acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,Y,Relative,VW,Compared to running average
Tijuana Estuary,Reference Site,NA,NA,NA,2020,NA,Bird Species Richness,5.4,Mean number of species acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Mugu Lagoon,Reference Site,NA,NA,NA,2020,NA,Bird Species Richness,5.1,Mean number of species acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2020,NA,Bird Species Richness,4.6,Mean number of species acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
San Dieguito,NA,Tidal Wetland,150,9,2020,NA,Food Chain Support,0.7,Mean number of feeding birds acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,N,Relative,VW,Compared to running average
Tijuana Estuary,Reference Site,NA,NA,NA,2020,NA,Food Chain Support,2.3,Mean number of feeding birds acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Mugu Lagoon,Reference Site,NA,NA,NA,2020,NA,Food Chain Support,5.1,Mean number of feeding birds acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2020,NA,Food Chain Support,1.2,Mean number of feeding birds acre^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
South San Diego Bay,Western Salt Pond 10A,Salt Marsh,NA,Pre Construction,2010,,Birds Abundance,1747,Individuals,Birds,Biological,Observation,Monthly,NA,NA,SD,March to September
South San Diego Bay,Western Salt Pond 10,Salt Marsh,NA,Pre Construction,2010,,Birds Abundance,1750,Individuals,Birds,Biological,Observation,Monthly,NA,NA,SD,March to September
South San Diego Bay,Western Salt Pond 11,Salt Marsh,NA,Pre Construction,2010,,Birds Abundance,532,Individuals,Birds,Biological,Observation,Monthly,NA,NA,SD,March to September
South San Diego Bay,Western Salt Pond 10A,Salt Marsh,NA,1,2012,,Birds Abundance,7848,Individuals,Birds,Biological,Observation,Monthly,NA,NA,SD,January to December
South San Diego Bay,Western Salt Pond 10,Salt Marsh,NA,1,2012,,Birds Abundance,26248,Individuals,Birds,Biological,Observation,Monthly,NA,NA,SD,January to December
South San Diego Bay,Western Salt Pond 11,Salt Marsh,NA,1,2012,,Birds Abundance,33818,Individuals,Birds,Biological,Observation,Monthly,NA,NA,SD,January to December
South San Diego Bay,Western Salt Pond 10A,Salt Marsh,NA,2,2013,,Birds Abundance,6140,Individuals,Birds,Biological,Observation,Monthly,NA,NA,SD,January to December
South San Diego Bay,Western Salt Pond 10,Salt Marsh,NA,2,2013,,Birds Abundance,11566,Individuals,Birds,Biological,Observation,Monthly,NA,NA,SD,January to December
South San Diego Bay,Western Salt Pond 11,Salt Marsh,NA,2,2013,,Birds Abundance,30129,Individuals,Birds,Biological,Observation,Monthly,NA,NA,SD,January to December
South San Diego Bay,Western Salt Pond 10A,Salt Marsh,NA,3,2014,,Birds Abundance,6596,Individuals,Birds,Biological,Observation,Monthly,NA,NA,SD,January to December
South San Diego Bay,Western Salt Pond 10,Salt Marsh,NA,3,2014,,Birds Abundance,4623,Individuals,Birds,Biological,Observation,Monthly,NA,NA,SD,January to December
South San Diego Bay,Western Salt Pond 11,Salt Marsh,NA,3,2014,,Birds Abundance,19914,Individuals,Birds,Biological,Observation,Monthly,NA,NA,SD,January to December
South San Diego Bay,Western Salt Pond 10A,Salt Marsh,NA,4,2015,,Birds Abundance,5064,Individuals,Birds,Biological,Observation,Monthly,NA,NA,SD,January to December
South San Diego Bay,Western Salt Pond 10,Salt Marsh,NA,4,2015,,Birds Abundance,2454,Individuals,Birds,Biological,Observation,Monthly,NA,NA,SD,January to December
South San Diego Bay,Western Salt Pond 11,Salt Marsh,NA,4,2015,,Birds Abundance,28502,Individuals,Birds,Biological,Observation,Monthly,NA,NA,SD,January to December
South San Diego Bay,Western Salt Pond 10A,Salt Marsh,NA,5,2016,,Birds Abundance,4798,Individuals,Birds,Biological,Observation,Monthly,NA,NA,SD,January to December
South San Diego Bay,Western Salt Pond 10,Salt Marsh,NA,5,2016,,Birds Abundance,2188,Individuals,Birds,Biological,Observation,Monthly,NA,NA,SD,January to December
South San Diego Bay,Western Salt Pond 11,Salt Marsh,NA,5,2016,,Birds Abundance,24067,Individuals,Birds,Biological,Observation,Monthly,NA,NA,SD,January to December
Devereux Slough,NA,NA,NA,1,2018,September 2017-October 2018,Individual Count-Ducks and Geese,516,Individuals,Birds,Biological,Visual Census,Monthly,NA,NA,AS,
Devereux Slough,NA,NA,NA,1,2018,September 2017-October 2019,Observation Count-Ducks and Geese,102,Individuals,Birds,Biological,Visual Census,Monthly,NA,NA,AS,
Devereux Slough,NA,NA,NA,1,2018,September 2017-October 2020,Individual Count-Granivores,790,Individuals,Birds,Biological,Visual Census,Monthly,NA,NA,AS,
Devereux Slough,NA,NA,NA,1,2018,September 2017-October 2021,Observation Count-Granivores,174,Individuals,Birds,Biological,Visual Census,Monthly,NA,NA,AS,
Devereux Slough,NA,NA,NA,1,2018,September 2017-October 2022,Individual Count-Gulls,99,Individuals,Birds,Biological,Visual Census,Monthly,NA,NA,AS,
Devereux Slough,NA,NA,NA,1,2018,September 2017-October 2023,Observation Count-Gulls,13,Individuals,Birds,Biological,Visual Census,Monthly,NA,NA,AS,
Devereux Slough,NA,NA,NA,1,2018,September 2017-October 2024,Individual Count-Herons and Egrets,109,Individuals,Birds,Biological,Visual Census,Monthly,NA,NA,AS,
Devereux Slough,NA,NA,NA,1,2018,September 2017-October 2025,Observation Count-Herons and Egrets,33,Individuals,Birds,Biological,Visual Census,Monthly,NA,NA,AS,
Devereux Slough,NA,NA,NA,1,2018,September 2017-October 2026,Individual Count-Hummingbirds,127,Individuals,Birds,Biological,Visual Census,Monthly,NA,NA,AS,
Devereux Slough,NA,NA,NA,1,2018,September 2017-October 2027,Observation Count-Hummingbirds,93,Individuals,Birds,Biological,Visual Census,Monthly,NA,NA,AS,
Devereux Slough,NA,NA,NA,1,2018,September 2017-October 2028,Individual Count-Insectivores,1410,Individuals,Birds,Biological,Visual Census,Monthly,NA,NA,AS,
Devereux Slough,NA,NA,NA,1,2018,September 2017-October 2029,Observation Count-Insectivores,428,Individuals,Birds,Biological,Visual Census,Monthly,NA,NA,AS,
Devereux Slough,NA,NA,NA,1,2018,September 2017-October 2030,Individual Count-Marsh Dwellers,8,Individuals,Birds,Biological,Visual Census,Monthly,NA,NA,AS,
Devereux Slough,NA,NA,NA,1,2018,September 2017-October 2031,Observation Count-Marsh Dwellers,5,Individuals,Birds,Biological,Visual Census,Monthly,NA,NA,AS,
Devereux Slough,NA,NA,NA,1,2018,September 2017-October 2032,Individual Count-Omnivores,421,Individuals,Birds,Biological,Visual Census,Monthly,NA,NA,AS,
Devereux Slough,NA,NA,NA,1,2018,September 2017-October 2033,Observation Count-Omnivores,152,Individuals,Birds,Biological,Visual Census,Monthly,NA,NA,AS,
Devereux Slough,NA,NA,NA,1,2018,September 2017-October 2034,Individual Count-Piscivores,1,Individuals,Birds,Biological,Visual Census,Monthly,NA,NA,AS,
Devereux Slough,NA,NA,NA,1,2018,September 2017-October 2035,Observation Count-Piscivores,1,Individuals,Birds,Biological,Visual Census,Monthly,NA,NA,AS,
Devereux Slough,NA,NA,NA,1,2018,September 2017-October 2036,Individual Count-Raptors/Carnivores,74,Individuals,Birds,Biological,Visual Census,Monthly,NA,NA,AS,
Devereux Slough,NA,NA,NA,1,2018,September 2017-October 2037,Observation Count-Raptors/Carnivores,64,Individuals,Birds,Biological,Visual Census,Monthly,NA,NA,AS,
Devereux Slough,NA,NA,NA,1,2018,September 2017-October 2038,Individual Count-Waders and Shorebirds,1172,Individuals,Birds,Biological,Visual Census,Monthly,NA,NA,AS,
Devereux Slough,NA,NA,NA,1,2018,September 2017-October 2039,Observation Count-Waders and Shorebirds,221,Individuals,Birds,Biological,Visual Census,Monthly,NA,NA,AS,
Devereux Slough,NA,NA,NA,1,2018,September 2017-October 2040,Individual Count-Warblers,110,Individuals,Birds,Biological,Visual Census,Monthly,NA,NA,AS,
Devereux Slough,NA,NA,NA,1,2018,September 2017-October 2041,Observation Count-Warblers,56,Individuals,Birds,Biological,Visual Census,Monthly,NA,NA,AS,
